imageid,url,pitch,yaw,roll,manual_pitch,manual_yaw,object_id,object_title,object_classification,object_department,object_division,object_artist,object_century,object_datebegin,object_culture,object_provenance,object_dimensions,object_medium,object_technique,object_accessionyear
458691,"https://ids.lib.harvard.edu/ids/iiif/418486817/942,214,694,925/full/0/native.jpg",7,4,-4,0,0,337830,Maya Angelou,Photographs,Department of Photographs,Modern and Contemporary Art,Brian Lanker,20th century,1987,American,"Brian Lanker, 1989, to; [Gary Schneider and John Erdman, New York] (1989-2011), gift/sale; to Harvard Art Museums, 2011. Note: Printed in collaboration with the artist or the artist's estate and retained by Schneider/Erdman per agreement.",37.5 x 37.7 cm (14 3/4 x 14 13/16 in.)\r\nsheet: 50.8 x 40.6 cm (20 x 16 in.),Gelatin silver print,Gelatin silver print,2011
458694,"https://ids.lib.harvard.edu/ids/iiif/418486826/667,226,430,573/full/0/native.jpg",2,2,-1,2,2,337652,"Untitled (Mink Royal Pastel and Midnight Blue, Barbara Mullen)",Photographs,Department of Photographs,Modern and Contemporary Art,Lillian Bassman,20th century,1950,American,"Lillian Bassman, 1986-1994, to; [Gary Schneider and John Erdman, New York] (1986/1994-2011), gift/sale; to Harvard Art Museums, 2011. Note: Printed in collaboration with the artist or the artist's estate and retained by Schneider/Erdman per agreement.",50.8 x 40.6 cm (20 x 16 in.),Gelatin silver print,Gelatin silver print,2011
459286,"https://ids.lib.harvard.edu/ids/iiif/418679632/542,80,618,824/full/0/native.jpg",-2,21,-1,-2,2,310911,Henry Willard Williams (1821-1895),Paintings,Harvard University Portrait Collection,European and American Art,Jacob Dutweiler Wagner,19th century,1888,American,"Gift of the family of Dr. Henry W. Williams, 1898",122.1 x 86.6 cm (48 1/16 x 34 1/8 in.)\r\nframed: 146.1 x 110.5 x 12.7 cm (57 1/2 x 43 1/2 x 5 in.),Oil on canvas,NA,NA
459308,"https://ids.lib.harvard.edu/ids/iiif/418683710/572,223,668,891/full/0/native.jpg",-4,5,-1,0,0,192540,John Phister Cowin (1909-1933),Paintings,Harvard University Portrait Collection,Modern and Contemporary Art,Wilbur Fiske Noyes,20th century,0,American,NA,91.4 x 68.6 cm (36 x 27 in.)\r\nframed: 102.6 x 79.7 x 6.4 cm (40 3/8 x 31 3/8 x 2 1/2 in.),Oil on canvas,NA,NA
459309,"https://ids.lib.harvard.edu/ids/iiif/418683708/629,163,722,963/full/0/native.jpg",-3,-6,0,0,0,310948,James Clark White (1833-1916),Paintings,Harvard University Portrait Collection,European and American Art,Frederic Porter Vinton,20th century,1903,American,Commissioned in 1903 for Harvard Medical School.,107.3 x 87 cm (42 1/4 x 34 1/4 in.)\r\nframed: 136.5 x 115.6 x 15.2 cm (53 3/4 x 45 1/2 x 6 in.),Oil on canvas,NA,NA
459311,"https://ids.lib.harvard.edu/ids/iiif/418683722/964,82,602,803/full/0/native.jpg",-4,-20,2,0,-4,337834,Barbara Jordan,Photographs,Department of Photographs,Modern and Contemporary Art,Brian Lanker,20th century,1987,American,"Brian Lanker, 1989, to; [Gary Schneider and John Erdman, New York] (1989-2011), gift/sale; to Harvard Art Museums, 2011. Note: Printed in collaboration with the artist or the artist's estate and retained by Schneider/Erdman per agreement.",37.1 x 37.1 cm (14 5/8 x 14 5/8 in.)\r\nsheet: 50.8 x 40.6 cm (20 x 16 in.),Gelatin silver print,Gelatin silver print,2011
459312,"https://ids.lib.harvard.edu/ids/iiif/418683718/1571,910,412,549/full/0/native.jpg",2,-26,5,-6,-16,337838,Ellen Stewart,Photographs,Department of Photographs,Modern and Contemporary Art,Brian Lanker,20th century,1987,American,"Brian Lanker, 1989, to; [Gary Schneider and John Erdman, New York] (1989-2011), gift/sale; to Harvard Art Museums, 2011. Note: Printed in collaboration with the artist or the artist's estate and retained by Schneider/Erdman per agreement.",37.3 x 37 cm (14 11/16 x 14 9/16 in.)\r\nsheet: 50.8 x 40.6 cm (20 x 16 in.),Gelatin silver print,Gelatin silver print,2011
459315,"https://ids.lib.harvard.edu/ids/iiif/418687581/808,473,592,789/full/0/native.jpg",8,20,17,2,2,337835,Niara Sudarkasa,Photographs,Department of Photographs,Modern and Contemporary Art,Brian Lanker,20th century,1987,American,"Brian Lanker, 1989, to; [Gary Schneider and John Erdman, New York] (1989-2011), gift/sale; to Harvard Art Museums, 2011. Note: Printed in collaboration with the artist or the artist's estate and retained by Schneider/Erdman per agreement.",37.2 x 37.2 cm (14 5/8 x 14 5/8 in.)\r\nsheet: 50.8 x 40.6 cm (20 x 16 in.),Gelatin silver print,Gelatin silver print,2011
459318,"https://ids.lib.harvard.edu/ids/iiif/418689319/614,113,1492,1989/full/0/native.jpg",9,-37,-7,0,-30,337836,Priscilla L. Williams,Photographs,Department of Photographs,Modern and Contemporary Art,Brian Lanker,20th century,1987,American,"Brian Lanker, 1989, to; [Gary Schneider and John Erdman, New York] (1989-2011), gift/sale; to Harvard Art Museums, 2011. Note: Printed in collaboration with the artist or the artist's estate and retained by Schneider/Erdman per agreement.",37.9 x 37.6 cm (14 15/16 x 14 13/16 in.)\r\nsheet: 50.8 x 40.6 cm (20 x 16 in.),Gelatin silver print,Gelatin silver print,2011
459335,"https://ids.lib.harvard.edu/ids/iiif/418700853/725,320,1190,1587/full/0/native.jpg",-7,57,-4,6,48,220008,Head (Girl with Curly Hair),Sculpture,Busch-Reisinger Museum,Modern and Contemporary Art,Rudolf Knoerlein,20th century,1930,Austrian,"Purchase, Leander & Co., Ltd., London, 1936.",34.3 x 22.7 x 21.7 cm (13 1/2 x 8 15/16 x 8 9/16 in.),Ceramic,NA,1936
